Manufacturer,Comment,Designator,Footprint,Quantity,PartNumber,Source
SAMSUNG 三星,10nF,C2,C_0402_1005Metric,1,C15195,JLC
SAMSUNG 三星,0.1uF,C4 C5 C6 C7,C_0402_1005Metric,4,C1525,JLC
SAMSUNG 三星,10uF/25V,C1 C3,C_0603_1608Metric,2,C96446,JLC
UniOhm 台湾厚声,0R,R8 R9,R_0402_1005Metric,2,C17168,JLC
UniOhm 台湾厚声,100R,R3,R_0402_1005Metric,1,C25076,JLC
UniOhm 台湾厚声,1K,R2,R_0402_1005Metric,1,C11702,JLC
UniOhm 台湾厚声,4.7K,R4 R5 R6 R7,R_0402_1005Metric,4,C25900,JLC
UniOhm 台湾厚声,10K,R1,R_0603_1608Metric,1,C25804,JLC
XKB 星坤,TS-1187A-B-A-B,SW1 SW2,XKB_TS-1187A-B-A-B,2,C318884,JLC
LRC 乐山无线电,LESD5Z5.0CT1G,D1 D2 D3,D_SOD-923,3,C136167,JLC-EXT
VISHAY(威世),SiA517DJ,Q1 Q1,Vishay_PowerPAK_SC70-6L_Dual,2,C469328,JLC-EXT
南京沁恒,CH343P,U2,WQFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,1,C2846043,JLC-EXT
EXAR 艾科嘉,SPX3819M5-L-3-3,U1,SOT-23-5,1,C9055,JLC-REC
MOLEX,USB_A,J1,MOLEX_48037-2200,1,C2765195,LCSC